Category	1POS	1Count
Found Right	1PRON	1159
Found Right	1ADJ	1194
Found Right	1DET	1242
Found Right	1NOUN	1192
Found Right	1VERB	116
Found Right	1ADP	19
Found Right	1NUM	15
Found Right	1PROPN	19
Found Right	1AUX	11
Found Wrong	1DET	1143
Found Wrong	1ADJ	177
Found Wrong	1NOUN	194
Found Wrong	1ADP	12
Found Wrong	1PRON	158
Found Wrong	1PROPN	12
Found Wrong	1NUM	14
Found Wrong	1VERB	122
Not Found	1ADJ	1288
Not Found	1NOUN	1290
Not Found	1PRON	143
Not Found	1DET	184
Not Found	1VERB	128
Not Found	1NUM	12
Not Found	1ADP	13
Not Found	1PROPN	11
Not Found	1AUX	11
